"Statistics For smkVrs4bUnicastUdpMp4Out Status: Idle","2019-03-06 18:34:50
Status:Idle, Error:302
2019-03-06 18:34:50
Input stream:udp_1, Status:Stream loss, Error:101
2019-03-06 18:34:50
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:34:50
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:34:48
Job started
2019-03-06 18:31:48
Job Stop Failed.
2019-03-06 18:30:28
Status:Idle, Error:302
2019-03-06 18:30:27
Input stream:udp_1, Status:Stream loss, Error:101
2019-03-06 18:30:27
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:30:27
Job started
2019-03-06 18:30:27
Input track:1_Audio, Status:Stream loss, Error:401"
"Statistics For smkVrs4cRtmpInMp4Out Status: failed","No Notification Found."
"Statistics For smkVrs4bUnicastUdpMp4Out Status: Idle","2019-03-06 18:34:50
Status:Idle, Error:302
2019-03-06 18:34:50
Input stream:udp_1, Status:Stream loss, Error:101
2019-03-06 18:34:50
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:34:50
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:34:48
Job started"
"Statistics For smkVrs4aBmdInMultiOut Status: Idle","2019-03-06 18:34:16
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:34:16
Output stream:rtmp1, Status:Stream loss, Error:201
2019-03-06 18:34:13
Status:Idle, Error:302
2019-03-06 18:34:13
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:34:13
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:34:13
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:34:11
Job started"
"Statistics For smkVrs24SwtrRawImageInHlsOut Status: failed","No Notification Found."
"Statistics For SmkVrs34ScteCueOuInUdpInRawOut Status: Active","2019-03-06 18:37:52
Job started"
"Statistics For SmkVrs34ScteCueOuInUdpInRawOut Status: completed","2019-03-06 18:38:18
Job completed.
2019-03-06 18:37:52
Job started"
"Statistics For SmkVrs36SctePerodicUdpInRawOut Status: Active","2019-03-06 18:39:02
Job started"
"Statistics For SmkVrs36SctePerodicUdpInRawOut Status: completed","2019-03-06 18:39:28
Job completed.
2019-03-06 18:39:02
Job started"
"Statistics For SmkVrs37ScteInbandRawInHlsout Status: Idle","2019-03-06 18:39:58
Status:Idle, Error:302
2019-03-06 18:39:58
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:39:58
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:39:58
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:39:56
Job started"
"Statistics For SmkVrs37ScteInbandRawInHlsout Status: Idle","2019-03-06 18:39:58
Status:Idle, Error:302
2019-03-06 18:39:58
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:39:58
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:39:58
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:39:56
Job started"
"Statistics For SmkVrs38ScteOubndCuOuInRawInHls Status: failed","No Notification Found."
"Statistics For SmkVrs39ScteOubndCuOuDuraRawInHls Status: Idle","2019-03-06 18:41:25
Status:Idle, Error:302
2019-03-06 18:41:25
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:41:25
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:41:25
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:41:23
Job started"
"Statistics For SmkVrs39ScteOubndCuOuDuraRawInHls Status: Idle","2019-03-06 18:41:25
Status:Idle, Error:302
2019-03-06 18:41:25
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:41:25
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:41:25
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:41:23
Job started"
"Statistics For SmkVrs40SctePerodicRawInHls Status: failed","No Notification Found."
"Statistics For SmkVrs41ScteCueOuInFileInRawOut Status: failed","No Notification Found."
"Statistics For SmkVrs42ScteInbandRawOutHls Status: Idle","2019-03-06 18:43:25
Status:Idle, Error:302
2019-03-06 18:43:25
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:43:25
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:43:24
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:43:22
Job started"
"Statistics For SmkVrs42ScteInbandRawOutHls Status: Idle","2019-03-06 18:43:25
Status:Idle, Error:302
2019-03-06 18:43:25
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:43:25
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:43:24
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:43:22
Job started"
"Statistics For SmkVrs43ScteCueOuDurFileInRawOut Status: failed","No Notification Found."
"Statistics For SmkVrs44ScteInbandRawOutHls Status: Idle","2019-03-06 18:44:52
Status:Idle, Error:302
2019-03-06 18:44:52
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:44:52
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:44:52
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:44:50
Job started"
"Statistics For SmkVrs44ScteInbandRawOutHls Status: Idle","2019-03-06 18:44:52
Status:Idle, Error:302
2019-03-06 18:44:52
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:44:52
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:44:52
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:44:50
Job started"
"Statistics For SmkVrs45MgwlInHls Status: Idle","2019-03-06 18:45:46
Status:Idle, Error:302
2019-03-06 18:45:46
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:45:46
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:45:46
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:45:44
Job started"
"Statistics For SmkVrs45MgwlInHls Status: Idle","2019-03-06 18:45:46
Status:Idle, Error:302
2019-03-06 18:45:46
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:45:46
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:45:46
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:45:44
Job started"
"Statistics For SmkVrs46MgwlInDash Status: failed","No Notification Found."
"Statistics For SmkVrs47MgwlInUDPOut Status: Idle","2019-03-06 18:47:15
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:47:12
Status:Idle, Error:302
2019-03-06 18:47:12
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:47:12
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:47:12
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:47:10
Job started"
"Statistics For SmkVrs47MgwlInUDPOut Status: Idle","2019-03-06 18:47:15
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:47:12
Status:Idle, Error:302
2019-03-06 18:47:12
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:47:12
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:47:12
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:47:10
Job started"
"Statistics For smkVrs48MgwlInHlsMp4UserDe Status: Idle","2019-03-06 18:48:06
Status:Idle, Error:302
2019-03-06 18:48:06
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:48:06
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:48:06
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:48:04
Job started"
"Statistics For smkVrs48MgwlInHlsMp4UserDe Status: Idle","2019-03-06 18:48:06
Status:Idle, Error:302
2019-03-06 18:48:06
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:48:06
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:48:06
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:48:04
Job started"
"Statistics For SmkVrs49MagewlInRtmpOut Status: Idle","2019-03-06 18:49:05
Output stream:rtmp1, Status:Stream loss, Error:201
2019-03-06 18:49:02
Status:Idle, Error:302
2019-03-06 18:49:02
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:49:02
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:49:02
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:49:00
Job started"
"Statistics For SmkVrs49MagewlInRtmpOut Status: Idle","2019-03-06 18:49:05
Output stream:rtmp1, Status:Stream loss, Error:201
2019-03-06 18:49:02
Status:Idle, Error:302
2019-03-06 18:49:02
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:49:02
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:49:02
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:49:00
Job started"
"Statistics For SmkVrs50VportRawInUDpuni Status: Idle","2019-03-06 18:49:58
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:49:55
Status:Idle, Error:302
2019-03-06 18:49:55
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:49:55
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:49:55
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:49:53
Job started"
"Statistics For SmkVrs50VportRawInUDpuni Status: Idle","2019-03-06 18:49:58
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:49:55
Status:Idle, Error:302
2019-03-06 18:49:55
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:49:55
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:49:55
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:49:53
Job started"
"Statistics For SmkVrs51VportUDpuniRawOut Status: Idle","2019-03-06 18:50:52
Output stream:raw_clu, Status:Stream loss, Error:201
2019-03-06 18:50:52
Output stream:raw_clu, Status:Stream loss, Error:201
2019-03-06 18:50:49
Status:Idle, Error:302
2019-03-06 18:50:49
Input stream:udp_1, Status:Stream loss, Error:101
2019-03-06 18:50:49
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:50:49
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:50:47
Job started"
"Statistics For SmkVrs51VportUDpuniRawOut Status: Idle","2019-03-06 18:50:52
Output stream:raw_clu, Status:Stream loss, Error:201
2019-03-06 18:50:52
Output stream:raw_clu, Status:Stream loss, Error:201
2019-03-06 18:50:49
Status:Idle, Error:302
2019-03-06 18:50:49
Input stream:udp_1, Status:Stream loss, Error:101
2019-03-06 18:50:49
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:50:49
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:50:47
Job started"
"Statistics For SmkVrs62MgwlInHlsndUdpOut Status: Idle","2019-03-06 18:51:44
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:51:41
Status:Idle, Error:302
2019-03-06 18:51:41
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:51:41
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:51:41
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:51:39
Job started"
"Statistics For SmkVrs62MgwlInHlsndUdpOut Status: Idle","2019-03-06 18:51:44
Output stream:udp_1, Status:Stream loss, Error:201
2019-03-06 18:51:41
Status:Idle, Error:302
2019-03-06 18:51:41
Input stream:raw_sdi_1, Status:Stream loss, Error:101
2019-03-06 18:51:41
Input track:1_Video, Status:Stream loss, Error:401
2019-03-06 18:51:41
Input track:1_Audio, Status:Stream loss, Error:401
2019-03-06 18:51:39
Job started"
"Statistics For SmkVrs65aMgwlInUDPpTSbasPCR Status: failed","No Notification Found."
"Statistics For Smkvrs66HttpInRawOut Status: failed","No Notification Found."
